College/University,US World Ranking,School Type,Region,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible
Santa Clara University,2,Regional,West,640,740,640,740,1280,1480,27,32,
Sarah Lawrence College,59,LAC,Mid-Atlantic,660,740,570,710,1230,1450,27,31,TO
Scripps College,23,LAC,West,700,750,650,750,1350,1500,29,32,
Seattle University,8,Regional,West,590,680,560,660,1150,1340,24,29,
Seton Hall University,118,National,Mid-Atlantic,570,660,570,640,1140,1300,23,27,
Sewanee The University of the South,47,National,South,630,710,580,670,1210,1380,26,30,TO
Siena College,122,LAC,Mid-Atlantic,550,650,550,640,1100,1290,23,27,TO
Hardin Simmons University,11,Regional,New England,590,680,550,630,1140,1310,24,29,
Skidmore College,38,LAC,Mid-Atlantic,610,710,580,700,1190,1410,26,30,TO
Smith College,12,LAC,New England,680,750,640,750,1320,1500,28,32,TO
Soka University of America,41,National,West,580,690,600,760,1180,1450,24,30,
Southern Methodist University,56,National,South,650,730,640,750,1290,1480,28,32,
Southwestern University,95,National,South,560,680,550,650,1110,1330,23,29,
Spelman College,72,LAC,South,510,610,480,570,990,1180,19,24,
Saint John Fisher College,146,LAC,Mid-Atlantic,540,620,540,620,1080,1240,21,26,
Saint John's College Annapolis,53,LAC,Mid-Atlantic,670,750,620,730,1290,1480,26,31,TO
Saint John's University New York,164,National,Mid-Atlantic,520,620,510,620,1030,1240,22,27,
St Lawrence University,53,National,Mid-Atlantic,600,690,570,690,1170,1380,26,30,TO
St Mary's College,95,LAC,Midwest,560,670,510,610,1070,1280,22,28,
Saint Marys College California,9,Regional,West,560,660,560,650,1120,1310,22,27,
St Mary's College of Maryland,99,LAC,Mid-Atlantic,580,680,530,640,1110,1320,22,28,
Saint Michael's College,99,LAC,New England,590,680,560,650,1150,1330,24,28,TO
St Olaf College,53,LAC,Midwest,600,740,600,730,1200,1470,26,31,
Stanford University,5,National,West,730,790,730,800,1460,1590,31,35,
Stetson University,5,Regional,South,590,680,560,640,1150,1320,24,28,TO
Stevens Institute of Technology,71,National,Mid-Atlantic,640,720,670,760,1310,1480,29,32,
Stonehill College,108,LAC,New England,560,660,540,640,1100,1300,23,28,TO
Stony Brook University,96,National,Mid-Atlantic,600,700,620,750,1220,1450,26,31,
SUNY College of Environmental Science and Forestry,99,National,Mid-Atlantic,600,680,580,690,1180,1370,25,29,
SUNY at Geneseo,14,Regional,Mid-Atlantic,600,680,570,670,1170,1350,25,29,
Susquehanna University,132,National,Mid-Atlantic,550,660,540,630,1090,1290,23,27,TO
Swarthmore College,4,LAC,Mid-Atlantic,710,780,710,780,1420,1560,29,34,
Syracuse University,60,National,Mid-Atlantic,590,680,580,690,1170,1370,24,29,
Taylor University,1,Regional,Midwest,550,670,520,660,1070,1330,24,30,
Temple University,118,National,Mid-Atlantic,570,670,560,650,1130,1320,23,29,TO
Texas A & M University College Station,74,National,South,560,680,570,700,1130,1380,25,30,
Texas Christian University,82,National,South,590,680,570,670,1160,1350,25,30,
Texas Lutheran University,2,Regional,South,490,590,510,580,1000,1170,19,23,
Catholic University of America,124,National,Mid-Atlantic,560,660,540,630,1100,1290,22,28,TO
Citadel Military College of South Carolina,3,Regional,South,540,640,530,620,1070,1260,20,25,
Thomas Aquinas College,53,LAC,West,650,740,570,670,1220,1410,26,30,
Transylvania University,83,National,South,560,680,560,690,1090,1370,24,30,TO
Trinity College,38,LAC,New England,630,710,600,700,1230,1410,27,30,TO
Trinity University,1,Regional,South,630,710,600,710,1230,1420,27,32,
Truman State University,8,Regional,Midwest,620,760,580,710,1200,1470,25,30,
Tufts University,27,National,New England,720,770,720,780,1440,1550,30,33,
Tulane University of Louisiana,39,National,South,680,740,640,730,1320,1470,29,32,
Union College,38,LAC,Mid-Atlantic,660,720,650,750,1310,1470,29,32,
United States Air Force Academy,32,National,West,650,730,650,730,1300,1460,28,33,
United States Coast Guard Academy,2,Regional,New England,620,700,630,720,1250,1420,26,31,
United States Military Academy,19,LAC,Mid-Atlantic,620,720,620,720,1240,1440,27,32,
United States Naval Academy,12,LAC,Mid-Atlantic,620,720,630,730,1250,1450,NA,NA,
SUNY at Albany,146,National,Mid-Atlantic,540,620,550,620,1090,1240,22,26,
SUNY College at Buffalo,99,National,Mid-Atlantic,540,640,570,670,1110,1310,24,29,
The University of Alabama,103,National,South,540,660,530,650,1070,1310,22,31,
University of Arizona,124,National,West,530,650,510,640,1040,1290,21,27,TO
University of Arkansas,135,National,South,540,660,540,640,1080,1300,23,28,
University of California Berkeley,20,National,West,670,760,660,780,1330,1540,29,34,
University of California Davis,44,National,West,580,690,580,740,1160,1430,24,30,
University of California Irvine,39,National,West,560,670,570,720,1130,1390,NA,NA,
University of California Los Angeles,24,National,West,640,750,630,780,1270,1530,25,33,
University of California Merced,152,National,West,500,610,500,600,1000,1210,19,24,
University of California Riverside,118,National,West,560,660,550,670,1110,1330,22,28,
University of California San Diego,44,National,West,640,730,650,780,1290,1510,27,32,
University of California Santa Barbara,37,National,West,610,710,600,730,1210,1440,24,30,
University of California Santa Cruz,79,National,West,580,690,570,700,1150,1390,23,29,
University of Chicago,3,National,Midwest,740,800,750,800,1490,1600,32,35,
University of Cincinnati Main Campus,135,National,Midwest,560,680,560,690,1120,1370,23,28,
University of Colorado Boulder,92,National,West,580,680,570,690,1150,1370,24,30,
University of Connecticut,60,National,New England,610,700,600,720,1210,1420,26,31,
University of Dallas,12,Regional,South,600,700,620,730,1220,1430,25,31,
University of Dayton,111,National,Midwest,570,660,560,660,1130,1320,24,29,
University of Delaware,79,National,Mid-Atlantic,600,690,580,690,1180,1380,24,29,TO
University of Denver,86,National,West,600,690,580,690,1180,1380,23,30,
University of Florida,50,National,South,630,710,610,710,1240,1420,27,31,
University of Georgia,56,National,South,620,700,600,700,1220,1400,26,31,
University of Hawaii at Manoa,169,National,West,530,630,530,630,1060,1260,21,26,
University of Illinois at Chicago,152,National,Midwest,530,640,550,700,1080,1340,21,26,
University of Illinois at Urbana Champaign,44,National,Midwest,640,720,730,800,1370,1520,26,31,
University of Iowa,82,National,Midwest,500,680,570,720,1070,1400,23,28,
University of Kansas,118,National,Midwest,NA,NA,NA,NA,NA,NA,22,28,
University of Kentucky,133,National,South,550,670,540,650,1090,1320,22,28,
University of La Verne,152,National,West,520,620,510,580,1030,1200,20,24,
University of Mary Washington,16,Regional,South,560,650,530,620,1090,1270,22,27,TO
University of Maryland College Park,60,National,Mid-Atlantic,640,740,640,760,1280,1500,NA,NA,
University of Massachusetts Amherst,74,National,New England,600,680,600,700,1200,1380,25,30,
University of Miami,44,National,South,640,720,630,730,1270,1450,28,32,
University of Michigan Ann Arbor,27,National,Midwest,680,750,690,780,1370,1530,29,33,
University of Minnesota Twin Cities,71,National,Midwest,620,720,640,770,1260,1490,26,30,
University of Mississippi,135,National,South,540,640,530,620,1070,1260,21,28,TO
University of Missouri Columbia,111,National,Midwest,580,700,560,670,1140,1370,24,29,
University of Nebraska Lincoln,111,National,Midwest,540,680,530,690,1070,1370,22,28,
University of New Hampshire Main Campus,107,National,New England,550,650,540,630,1090,1280,22,27,
University of North Carolina at Chapel Hill,30,National,South,650,730,630,730,1280,1460,27,32,
University of North Carolina at Wilmington,16,Regional,South,590,680,580,660,1170,1340,22,26,
University of Notre Dame,15,National,Midwest,700,770,710,780,1410,1550,32,34,
University of Oklahoma Norman Campus,111,National,South,560,720,570,700,1130,1420,23,29,
University of Oregon,103,National,West,550,660,530,630,1080,1290,22,27,
University of Pennsylvania,8,National,Mid-Atlantic,720,780,730,800,1450,1580,31,34,
University of Pittsburgh Pittsburgh Campus,68,National,Mid-Atlantic,630,710,620,720,1250,1430,26,31,
University of Portland,7,Regional,West,580,700,570,670,1150,1370,NA,NA,
University of Puget Sound,70,National,West,610,710,570,690,1180,1400,25,30,TO
University of Redlands,12,Regional,West,560,660,540,630,1100,1290,22,28,
University of Richmond,27,National,South,660,730,640,750,1300,1480,29,32,
University of Rochester,32,National,Mid-Atlantic,660,740,660,780,1320,1520,29,33,TF
University of San Diego,86,National,West,600,690,580,700,1180,1390,26,30,
University of San Francisco,107,National,West,580,670,570,660,1150,1330,24,28,
University of South Carolina Columbia,107,National,South,600,680,580,670,1180,1350,25,30,
University of South Florida Main Campus,159,National,South,580,670,570,660,1150,1330,24,28,
University of Southern California,23,National,West,680,760,670,780,1350,1540,30,33,
University of St Thomas,118,National,Midwest,560,680,540,640,1100,1320,24,29,
The University of Tennessee,103,National,South,560,680,560,650,1120,1330,24,30,
The University of Texas at Austin,56,National,South,610,710,610,740,1220,1450,25,31,
The University of Texas at Dallas,146,National,South,600,700,620,730,1220,1430,25,31,
University of the Pacific,111,National,West,550,680,550,690,1100,1370,22,29,
University of Tulsa,86,National,South,600,740,590,730,1190,1470,26,32,
University of Utah,111,National,West,550,680,540,690,1090,1370,21,28,
University of Vermont,92,National,New England,600,700,570,660,1170,1360,25,30,
University of Virginia Main Campus,24,National,South,670,750,650,760,1320,1510,29,33,
University of Washington Seattle Campus,54,National,West,590,700,600,740,1190,1440,26,31,
University of Wisconsin Madison,44,National,Midwest,640,710,650,780,1290,1490,27,31,
Ursinus College,95,LAC,Mid-Atlantic,570,670,560,650,1120,1320,23,30,TO
Valparaiso University,4,National,Midwest,550,650,530,640,1080,1290,23,29,
Vanderbilt University,15,National,South,730,790,750,800,1480,1590,32,35,
Vassar College,12,LAC,Mid-Atlantic,710,770,690,760,1400,1530,30,33,
Villanova University,50,National,Mid-Atlantic,650,730,630,740,1280,1470,29,32,
Virginia Commonwealth University,164,National,South,550,650,520,610,1070,1260,21,27,TO
Virginia Military Institute,72,National,South,570,670,570,640,1140,1310,23,28,
Virginia Polytechnic Institute and State University,74,National,Mid-Atlantic,590,680,590,710,1180,1390,NA,NA,
Wabash College,65,LAC,Midwest,540,650,550,660,1090,1310,22,27,
Wake Forest University,27,National,South,650,730,630,750,1280,1480,27,33,TO
Washington & Jefferson College,99,LAC,Mid-Atlantic,560,660,570,650,1130,1310,22,28,TO
Washington and Lee University,11,National,South,700,750,690,760,1390,1510,30,33,
Washington College,99,LAC,Mid-Atlantic,570,680,550,660,1120,1340,25,29,TO
Washington State University,143,National,West,490,610,500,590,990,1200,19,26,
Washington University in St Louis,19,National,South,730,780,740,800,1470,1580,32,34,
Wellesley College,3,LAC,New England,690,760,670,770,1360,1530,29,33,
Wesleyan University,21,National,New England,680,760,650,760,1330,1520,29,33,TO
Westmont College,99,LAC,West,580,690,560,670,1140,1360,23,29,
Wheaton College,62,LAC,Midwest,600,700,570,690,1170,1390,27,32,
Whitman College,41,LAC,West,650,740,630,730,1280,1470,27,32,TO
Whittier College,132,LAC,West,510,630,510,610,1020,1240,20,26,TO
Willamette University,72,National,West,600,700,570,670,1170,1370,24,30,TO
Williams College,1,LAC,New England,710,790,700,780,1410,1570,31,34,
Wofford College,77,LAC,South,580,680,560,650,1140,1330,23,29,TO
Worcester Polytechnic Institute,60,National,New England,630,710,660,760,1290,1470,28,32,TO
Xavier University,4,Regional,Midwest,540,650,520,610,1060,1260,22,27,
Yale University,4,National,New England,740,800,740,800,1480,1600,31,35,
Yeshiva University,66,National,Mid-Atlantic,610,710,580,710,1190,1420,23,29,
