ID,School,School Type,Region,US World Ranking,Acceptance Rate,Average GPA,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,SAT 25,SAT 75,ACT 25,ACT 75,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible,State,Link
1115,Morgan State University,,,,0.67,2.65,,,,,,,880,1050,16,19,,,,Maryland,http://www.collegesimply.com/guides/admission-data//colleges/maryland/morgan-state-university/admission/
813,Becker College,,,,0.67,3.02,,,,,,,980,1180,19,25,,,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/becker-college/admission/
916,California State University Sacramento,,,,0.67,3.25,,,,,,,920,1130,17,23,,,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/california-state-university-sacramento/admission/
388,Mount St Mary's University,,,,0.67,3.42,,,,,,,1000,1200,18,24,,,,Maryland,http://www.collegesimply.com/guides/admission-data//colleges/maryland/mount-st-marys-university/admission/
1294,Dean College,,,,0.67,2.4,,,,,,,-,-,-,-,,,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/dean-college/admission/
395,Queens University of Charlotte,Regional,South,22.0,0.67,3.57,510.0,640.0,500.0,590.0,1010.0,1230.0,1020,1220,21,26,20.0,26.0,,North Carolina,http://www.collegesimply.com/guides/admission-data//colleges/north-carolina/queens-university-of-charlotte/admission/
674,Jacksonville State University,,,,0.67,3.18,,,,,,,970,1170,20,26,,,,Alabama,http://www.collegesimply.com/guides/admission-data//colleges/alabama/jacksonville-state-university/admission/
155,Texas A & M University College Station,National,South,74.0,0.67,-,560.0,680.0,570.0,700.0,1130.0,1380.0,1130,1380,25,30,25.0,30.0,,Texas,http://www.collegesimply.com/guides/admission-data//colleges/texas/texas-a-and-m-university-college-station/admission/
255,Alma College,,,,0.68,3.5,,,,,,,1110,1350,21,27,,,,Michigan,http://www.collegesimply.com/guides/admission-data//colleges/michigan/alma-college/admission/
1458,Lawrence University,National,Midwest,60.0,0.68,3.7,630.0,720.0,580.0,750.0,1210.0,1470.0,-,-,-,-,25.0,31.0,TO,Wisconsin,http://www.collegesimply.com/guides/admission-data//colleges/wisconsin/lawrence-university/admission/
179,Clarkson University,National,Mid-Atlantic,129.0,0.68,3.56,570.0,660.0,590.0,700.0,1160.0,1360.0,1140,1360,24,30,24.0,29.0,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/clarkson-university/admission/
1041,Jackson State University,,,,0.68,2.93,,,,,,,890,1100,17,21,,,,Mississippi,http://www.collegesimply.com/guides/admission-data//colleges/mississippi/jackson-state-university/admission/
583,Widener University Main Campus,,,,0.68,3.4,,,,,,,1010,1190,21,25,,,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/widener-university-main-campus/admission/
620,Slippery Rock University of Pennsylvania,,,,0.68,3.4,,,,,,,990,1160,19,24,,,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/slippery-rock-university-of-pennsylvania/admission/
749,Belmont Abbey College,,,,0.68,3.13,,,,,,,980,1200,19,25,,,,North Carolina,http://www.collegesimply.com/guides/admission-data//colleges/north-carolina/belmont-abbey-college/admission/
1258,Moody Bible Institute,,,,0.68,-,,,,,,,-,-,-,-,,,,Illinois,http://www.collegesimply.com/guides/admission-data//colleges/illinois/moody-bible-institute/admission/
759,Marymount University,,,,0.68,3.23,,,,,,,960,1180,19,24,,,,Virginia,http://www.collegesimply.com/guides/admission-data//colleges/virginia/marymount-university/admission/
1480,California State University Channel Islands,,,,0.68,-,,,,,,,-,-,-,-,,,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/california-state-university-channel-islands/admission/
269,Ouachita Baptist University,,,,0.68,3.53,,,,,,,1020,1310,21,28,,,,Arkansas,http://www.collegesimply.com/guides/admission-data//colleges/arkansas/ouachita-baptist-university/admission/
764,San Francisco State University,Regional,West,,0.68,3.2,480.0,580.0,470.0,570.0,950.0,1150.0,940,1160,18,24,18.0,24.0,TO,California,http://www.collegesimply.com/guides/admission-data//colleges/california/san-francisco-state-university/admission/
452,Tennessee Technological University,,,,0.68,3.5,,,,,,,990,1270,21,27,,,,Tennessee,http://www.collegesimply.com/guides/admission-data//colleges/tennessee/tennessee-technological-university/admission/
649,Vanguard University of Southern California,,,,0.68,3.13,,,,,,,930,1160,18,24,,,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/vanguard-university-of-southern-california/admission/
634,St Louis College of Pharmacy,,,,0.68,3.74,,,,,,,1110,1320,24,29,,,,Missouri,http://www.collegesimply.com/guides/admission-data//colleges/missouri/st-louis-college-of-pharmacy/admission/
704,Florida Atlantic University,,,,0.68,3.46,,,,,,,1040,1210,20,25,,,,Florida,http://www.collegesimply.com/guides/admission-data//colleges/florida/florida-atlantic-university/admission/
959,Penn State Shenango,,,,0.68,-,,,,,,,900,1120,19,22,,,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/pennsylvania-state-university-penn-state-shenango/admission/
1078,Our Lady of the Lake University San Antonio,,,,0.68,-,,,,,,,900,1090,17,22,,,,Texas,http://www.collegesimply.com/guides/admission-data//colleges/texas/our-lady-of-the-lake-university-san-antonio/admission/
298,Alfred University,,,,0.68,3.18,,,,,,,1000,1210,21,28,,,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/alfred-university/admission/
707,University of the Cumberlands,,,,0.68,3.3,,,,,,,960,1160,19,25,,,,Kentucky,http://www.collegesimply.com/guides/admission-data//colleges/kentucky/university-of-the-cumberlands/admission/
1079,California State University Los Angeles,Regional,West,61.0,0.68,3.18,440.0,540.0,430.0,530.0,870.0,1070.0,860,1070,15,20,15.0,20.0,TO,California,http://www.collegesimply.com/guides/admission-data//colleges/california/california-state-university-los-angeles/admission/
496,Georgetown College,,,,0.68,3.33,,,,,,,980,1160,20,25,,,,Kentucky,http://www.collegesimply.com/guides/admission-data//colleges/kentucky/georgetown-college/admission/
520,Saint Joseph's College New York,,,,0.68,3.25,,,,,,,1000,1180,19,24,,,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/saint-josephs-college-new-york/admission/
1109,Oklahoma Panhandle State University,,,,0.68,-,,,,,,,-,-,16,21,,,,Oklahoma,http://www.collegesimply.com/guides/admission-data//colleges/oklahoma/oklahoma-panhandle-state-university/admission/
693,Lancaster Bible College,,,,0.68,-,,,,,,,970,1200,19,23,,,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/lancaster-bible-college/admission/
1104,Louisiana State University Alexandria,,,,0.68,-,,,,,,,910,1130,18,22,,,,Louisiana,http://www.collegesimply.com/guides/admission-data//colleges/louisiana/louisiana-state-university-alexandria/admission/
1452,Cornish College of the Arts,,,,0.68,-,,,,,,,-,-,-,-,,,,Washington,http://www.collegesimply.com/guides/admission-data//colleges/washington/cornish-college-of-the-arts/admission/
